time_s;speed_kmh;soc_%;P_bar
164.100000;15.569620;97.245042;143.987345
164.200000;15.949367;97.243222;143.986251
164.300000;16.329114;97.241367;143.985156
164.400000;16.708861;97.239476;143.984061
164.500000;17.088608;97.237550;143.982967
164.600000;17.468354;97.235589;143.981872
164.700000;17.848101;97.233593;143.980777
164.800000;18.227848;97.231563;143.979683
164.900000;18.607595;97.230221;143.955637
165.000000;18.987342;97.228857;143.931114
165.100000;19.367089;97.227471;143.906115
165.200000;19.746835;97.226064;143.880638
165.300000;20.126582;97.224635;143.854660
165.400000;20.506329;97.223184;143.828130
165.500000;20.886076;97.221712;143.801045
165.600000;21.265823;97.220219;143.773400
165.700000;21.645570;97.218705;143.745193
165.800000;22.025316;97.217170;143.716419
165.900000;22.405063;97.215615;143.687074
166.000000;22.784810;97.214039;143.657155
166.100000;23.164557;97.212442;143.626657
166.200000;23.544304;97.210825;143.595576
166.300000;23.924051;97.209188;143.563908
166.400000;24.303797;97.207530;143.531650
166.500000;24.683544;97.205853;143.498796
166.600000;25.063291;97.204156;143.465343
166.700000;25.443038;97.202439;143.431286
166.800000;25.822785;97.200702;143.396622
166.900000;26.202532;97.198946;143.361344
167.000000;26.582278;97.197171;143.325450
167.100000;26.962025;97.195394;143.288935
167.200000;27.341772;97.193592;143.251794
167.300000;27.721519;97.191764;143.214022
167.400000;28.101266;97.189910;143.175615
167.500000;28.481013;97.188030;143.136569
167.600000;28.860759;97.186124;143.096878
167.700000;29.240506;97.184193;143.056537
167.800000;29.620253;97.182235;143.015542
167.900000;30.000000;97.180252;142.973888
168.000000;30.000000;97.179768;142.972832
168.100000;30.000000;97.179284;142.971777
168.200000;30.000000;97.178800;142.970721
168.300000;30.000000;97.178317;142.969666
168.400000;30.000000;97.177833;142.968611
168.500000;30.000000;97.177349;142.967555
168.600000;30.000000;97.176865;142.966500
168.700000;30.000000;97.176381;142.965444
168.800000;30.000000;97.175898;142.964389
168.900000;30.000000;97.175414;142.963333
169.000000;30.000000;97.174930;142.962277
169.100000;30.000000;97.174446;142.961222
169.200000;30.000000;97.173962;142.960166
169.300000;30.000000;97.173479;142.959111
169.400000;30.000000;97.172995;142.958055
169.500000;30.000000;97.172511;142.956999
169.600000;30.000000;97.172027;142.955944
169.700000;30.000000;97.171543;142.954888
169.800000;30.000000;97.171059;142.953832
169.900000;30.000000;97.170576;142.952776
170.000000;30.000000;97.170092;142.951721
170.100000;30.000000;97.169608;142.950665
170.200000;30.000000;97.169124;142.949609
170.300000;30.000000;97.168640;142.948553
170.400000;30.000000;97.168157;142.947497
170.500000;30.000000;97.167673;142.946441
170.600000;30.000000;97.167189;142.945386
170.700000;30.000000;97.166705;142.944330
170.800000;30.000000;97.166221;142.943274
170.900000;30.000000;97.165738;142.942218
171.000000;30.000000;97.165254;142.941162
171.100000;30.000000;97.164770;142.940106
171.200000;30.000000;97.164286;142.939050
171.300000;30.000000;97.163802;142.937994
171.400000;30.000000;97.163319;142.936938
171.500000;30.000000;97.162835;142.935882
171.600000;30.000000;97.162351;142.934826
171.700000;30.000000;97.161867;142.933770
171.800000;30.000000;97.161383;142.932713
171.900000;30.000000;97.160900;142.931657
172.000000;30.000000;97.160416;142.930601
172.100000;30.000000;97.159932;142.929545
172.200000;30.000000;97.159448;142.928489
172.300000;30.000000;97.158964;142.927433
172.400000;30.000000;97.158480;142.926376
172.500000;30.000000;97.157997;142.925320
172.600000;30.000000;97.157513;142.924264
172.700000;30.000000;97.157029;142.923208
172.800000;30.000000;97.156545;142.922151
172.900000;30.000000;97.156061;142.921095
173.000000;30.000000;97.155578;142.920039
173.100000;30.000000;97.155094;142.918982
173.200000;30.000000;97.154610;142.917926
173.300000;30.000000;97.154126;142.916869
173.400000;30.000000;97.153642;142.915813
173.500000;30.000000;97.153159;142.914756
173.600000;30.000000;97.152675;142.913700
173.700000;30.000000;97.152191;142.912644
173.800000;30.000000;97.151707;142.911587
173.900000;30.000000;97.151223;142.910531
174.000000;30.000000;97.150740;142.909474
174.100000;30.000000;97.150256;142.908417
174.200000;30.000000;97.149772;142.907361
174.300000;30.000000;97.149288;142.906304
174.400000;30.000000;97.148804;142.905248
174.500000;30.000000;97.148321;142.904191
174.600000;30.000000;97.147837;142.903134
174.700000;30.000000;97.147353;142.902078
174.800000;30.000000;97.146869;142.901021
174.900000;30.000000;97.146385;142.899964
175.000000;30.000000;97.145901;142.898908
175.100000;30.000000;97.145418;142.897851
175.200000;30.000000;97.144934;142.896794
175.300000;30.000000;97.144450;142.895737
175.400000;30.000000;97.143966;142.894680
175.500000;30.000000;97.143482;142.893624
175.600000;30.000000;97.142999;142.892567
175.700000;30.000000;97.142515;142.891510
175.800000;30.000000;97.142031;142.890453
175.900000;30.000000;97.141547;142.889396
176.000000;30.000000;97.141063;142.888339
176.100000;30.000000;97.140580;142.887282
176.200000;30.000000;97.140096;142.886225
176.300000;30.000000;97.139612;142.885168
176.400000;30.000000;97.139128;142.884111
176.500000;30.000000;97.138644;142.883054
176.600000;30.000000;97.138161;142.881997
176.700000;30.000000;97.137677;142.880940
176.800000;30.000000;97.137193;142.879883
176.900000;30.000000;97.136709;142.878826
177.000000;30.000000;97.136225;142.877769
177.100000;30.000000;97.135742;142.876712
177.200000;30.000000;97.135258;142.875655
177.300000;30.000000;97.134774;142.874597
177.400000;30.000000;97.134290;142.873540
177.500000;30.000000;97.133806;142.872483
177.600000;30.000000;97.133322;142.871426
177.700000;30.000000;97.132839;142.870368
177.800000;30.000000;97.132355;142.869311
177.900000;30.000000;97.131871;142.868254
178.000000;30.000000;97.131387;142.867197
178.100000;29.387755;97.133725;142.872809
178.200000;28.775510;97.136015;142.878287
178.300000;28.163265;97.138257;142.883631
178.400000;27.551020;97.140452;142.888839
